Date,Piligrims,Tonsures,Hundi,Special Day,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,Special Day Weighted,Piligrims_7Day_Avg,Festival Intensity
11-07-2022,62141,33880.0,5.58,1,62,32,30,22,18,11,11,1.0336141322534529,76701.71428571429,76701.71428571429
12-07-2022,74212,25920.0,5.05,1,58,33,25,25,17,24,0,1.0336141322534529,76812.14285714286,76812.14285714286
13-07-2022,71289,33210.0,3.71,1,59,28,12,8,0,12,0,1.0336141322534529,76079.42857142857,76079.42857142857
14-07-2022,74304,31880.0,5.45,0,54,30,35,18,32,23,10,1.0,75921.85714285714,0.0
15-07-2022,72195,35967.0,4.24,0,59,34,37,11,0,0,7,1.0,75804.57142857143,0.0
16-07-2022,84885,41211.0,4.35,0,67,30,17,15,15,10,0,1.0,75434.14285714286,0.0
17-07-2022,73387,33965.0,4.68,1,60,32,17,20,39,18,0,1.0336141322534529,73201.85714285714,73201.85714285714
18-07-2022,77273,35893.0,4.5,0,60,29,9,15,0,9,9,1.0,75363.57142857143,0.0
19-07-2022,74503,30884.0,4.42,0,60,29,26,19,0,18,0,1.0,75405.14285714286,0.0
20-07-2022,76821,34732.0,4.78,0,57,29,23,18,0,10,30,1.0,76195.42857142857,0.0
21-07-2022,71437,31315.0,4.43,0,62,30,22,23,28,13,0,1.0,75785.85714285714,0.0
22-07-2022,71395,32533.0,4.83,0,64,27,37,14,0,10,0,1.0,75671.57142857143,0.0
23-07-2022,78479,37521.0,3.76,0,70,34,24,22,0,18,13,1.0,74756.42857142857,0.0
24-07-2022,80815,31562.0,4.82,0,63,27,50,11,0,24,0,1.0,75817.57142857143,0.0
25-07-2022,72873,32641.0,5.12,0,64,25,51,16,15,12,0,1.0,75189.0,0.0
26-07-2022,68982,29092.0,4.6,0,60,32,39,20,0,34,8,1.0,74400.28571428571,0.0
27-07-2022,73375,31117.0,4.71,0,59,29,11,18,24,17,11,1.0,73908.0,0.0
28-07-2022,67364,25058.0,4.21,1,60,26,49,12,41,24,0,1.0336141322534529,73326.14285714286,73326.14285714286
29-07-2022,58747,28496.0,3.79,1,60,30,36,13,0,0,7,1.0336141322534529,71519.28571428571,71519.28571428571
30-07-2022,77541,39533.0,3.87,0,62,33,0,14,0,0,10,1.0,71385.28571428571,0.0
31-07-2022,81287,34436.0,3.83,0,60,36,27,16,0,19,0,1.0,71452.71428571429,0.0
01-08-2022,71450,31320.0,5.0,1,63,34,22,20,0,28,0,1.0336141322534529,71249.42857142857,71249.42857142857
02-08-2022,72067,27581.0,4.3,1,64,38,24,21,0,17,7,1.0336141322534529,71690.14285714286,71690.14285714286
03-08-2022,69628,32604.0,4.11,0,57,28,0,17,26,16,14,1.0,71154.85714285714,0.0
04-08-2022,62351,31473.0,4.99,0,55,27,27,19,0,12,5,1.0,70438.71428571429,0.0
05-08-2022,65939,32894.0,3.77,1,61,26,16,13,0,9,6,1.0336141322534529,71466.14285714286,71466.14285714286
06-08-2022,79525,39545.0,4.04,1,67,32,31,20,0,0,11,1.0336141322534529,71749.57142857143,71749.57142857143
07-08-2022,74830,39405.0,4.79,1,60,28,32,13,0,0,0,1.0336141322534529,70827.14285714286,70827.14285714286
08-08-2022,64425,29476.0,4.55,1,60,33,26,15,0,0,0,1.0336141322534529,69823.57142857143,69823.57142857143
09-08-2022,77277,31272.0,4.36,1,61,29,35,11,0,18,0,1.0336141322534529,70567.85714285714,70567.85714285714
10-08-2022,74497,36244.0,5.15,1,55,28,12,15,0,0,8,1.0336141322534529,71263.42857142857,71263.42857142857
11-08-2022,63754,30790.0,3.63,1,53,27,28,16,0,0,0,1.0336141322534529,71463.85714285714,71463.85714285714
12-08-2022,64079,32852.0,3.52,1,64,30,15,14,0,7,5,1.0336141322534529,71198.14285714286,71198.14285714286
13-08-2022,83422,50100.0,4.27,1,68,37,43,12,0,24,0,1.0336141322534529,71754.85714285714,71754.85714285714
