Piligrims,Tonsures,Hundi,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,condition,temperature,Timestamp,weekday,festival_count,festival_impact,holidays,Special Day Weighted,Piligrims_7Day_Avg,Festival intensity
75963,26956,3.99,32,22,0,26,0,30,0,1308,84.2,1721500200.0,1,3,74401.86222627737,1,1.0336141322534529,72478.57142857143,72478.57142857143
71939,26327,4.9,33,25,0,42,0,35,0,1308,84.02,1721586600.0,0,1,71182.66222627737,1,1.0336141322534529,72033.57142857143,72033.57142857143
73332,25202,3.73,34,25,0,39,0,28,0,1621,84.74000000000001,1721673000.0,0,1,68156.49102312156,1,1.0336141322534529,72308.28571428571,72308.28571428571
73023,26942,3.98,41,46,75,74,49,69,0,1308,84.38,1721759400.0,0,1,68156.49102312156,1,1.0336141322534529,72878.85714285714,72878.85714285714
61699,25082,3.55,37,25,0,36,0,30,0,1308,85.82,1721845800.0,0,1,68156.49102312156,1,1.0336141322534529,72089.71428571429,72089.71428571429
65980,27441,4.21,34,24,0,33,0,25,0,1308,83.48,1721932200.0,0,1,68156.49102312156,1,1.0336141322534529,72210.57142857143,72210.57142857143
84173,32519,3.5,35,27,0,32,0,30,0,839,81.86,1722018600.0,1,1,68156.49102312156,1,1.0336141322534529,72301.28571428571,72301.28571428571
79327,25894,3.93,31,21,0,27,0,37,0,1308,85.82,1722105000.0,1,1,68156.49102312156,1,1.0336141322534529,72781.85714285714,72781.85714285714
65874,23782,4.48,30,20,0,28,0,31,0,962,87.25999999999999,1722191400.0,0,1,68156.49102312156,1,1.0336141322534529,71915.42857142857,71915.42857142857
69937,22978,4.58,32,19,0,19,0,23,0,1308,81.5,1722277800.0,0,1,68156.49102312156,1,1.0336141322534529,71430.42857142857,71430.42857142857
67916,23010,3.93,30,20,0,25,0,26,0,1621,83.30000000000001,1722364200.0,0,1,68156.49102312156,1,1.0336141322534529,70700.85714285714,70700.85714285714
61465,21206,3.66,29,19,0,26,0,24,0,962,85.28,1722450600.0,0,1,68156.49102312156,1,1.0336141322534529,70667.42857142857,70667.42857142857
62540,24241,3.92,32,20,0,25,0,0,0,1275,84.2,1722537000.0,0,1,68156.49102312156,1,1.0336141322534529,70176.0,70176.0
75140,28256,3.76,33,23,0,35,0,42,0,1621,85.64,1722623400.0,1,1,68156.49102312156,1,1.0336141322534529,68885.57142857143,68885.57142857143
75356,21815,3.9,33,23,0,28,0,29,0,1275,86.0,1722709800.0,1,2,73916.26222627738,1,1.0336141322534529,68318.28571428571,68318.28571428571
63095,23127,3.72,32,18,0,26,0,0,0,1299,84.2,1722796200.0,0,1,68156.49102312156,1,1.0336141322534529,67921.28571428571,67921.28571428571
66235,26730,3.7,30,19,0,24,0,30,0,962,84.56,1722882600.0,0,1,68156.49102312156,1,1.0336141322534529,67392.42857142857,67392.42857142857
75109,30285,3.4,30,18,0,21,0,24,0,1299,79.88,1722969000.0,0,2,73718.66222627737,1,1.0336141322534529,68420.0,68420.0
63535,28685,3.81,31,17,0,22,0,23,0,1275,81.5,1723055400.0,0,1,70812.52889294404,1,1.0336141322534529,68715.71428571429,68715.71428571429
65131,30998,4.66,34,20,0,25,0,0,0,1275,82.94,1723141800.0,0,1,65736.26222627738,1,1.0336141322534529,69085.85714285714,69085.85714285714
73313,39344,3.65,36,24,0,36,0,33,0,1275,81.5,1723228200.0,1,1,68156.49102312156,1,1.0336141322534529,68824.85714285714,68824.85714285714
